Filename,190301_ALB_P2R2G_homo_water.clklb,,,,,,,,,,,,,,,,,,,,,,,,
Start Day,1  01-03-19,,,,,,,,,,,,,,,,,,,,,,,,
End Day,24  24-03-19,,,,,,,,,,,,,,,,,,,,,,,,
Start Hr,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Tau,24.00,,,,,,,,,,,,,,,,,,,,,,,,
Bin (mn),1.00,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
Min / Day,1.000000,2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000
43.00,NaN,20.00,102.00,115.00,51.00,100.00,93.00,48.00,84.00,73.00,2.00,91.00,0.00,6.00,14.00,7.00,18.00,61.00,98.00,81.00,40.00,34.00,42.00,18.00,82.00
44.00,NaN,4.00,64.00,73.00,49.00,98.00,42.00,30.00,30.00,77.00,24.00,67.00,0.00,7.00,14.00,45.00,9.00,47.00,2.00,69.00,73.00,127.00,74.00,2.00,82.00
45.00,NaN,42.00,64.00,73.00,8.00,91.00,134.00,121.00,83.00,35.00,34.00,69.00,14.00,5.00,39.00,86.00,25.00,113.00,41.00,49.00,90.00,48.00,43.00,0.00,33.00
46.00,NaN,45.00,62.00,81.00,33.00,47.00,83.00,87.00,62.00,104.00,52.00,32.00,27.00,0.00,3.00,83.00,5.00,76.00,52.00,82.00,43.00,65.00,147.00,5.00,126.00
47.00,NaN,0.00,28.00,33.00,64.00,133.00,98.00,81.00,76.00,81.00,28.00,117.00,8.00,0.00,24.00,79.00,2.00,86.00,41.00,79.00,124.00,29.00,93.00,32.00,58.00
48.00,NaN,99.00,100.00,109.00,21.00,65.00,70.00,72.00,78.00,0.00,70.00,75.00,2.00,9.00,60.00,42.00,2.00,90.00,64.00,43.00,92.00,8.00,87.00,61.00,62.00
49.00,NaN,59.00,67.00,67.00,15.00,102.00,46.00,40.00,39.00,114.00,71.00,63.00,0.00,0.00,27.00,116.00,28.00,44.00,58.00,114.00,74.00,116.00,61.00,90.00,28.00
50.00,NaN,37.00,60.00,53.00,19.00,72.00,96.00,91.00,117.00,81.00,79.00,22.00,5.00,2.00,32.00,45.00,29.00,124.00,17.00,62.00,85.00,25.00,10.00,8.00,34.00
51.00,NaN,55.00,47.00,64.00,88.00,33.00,94.00,82.00,68.00,64.00,34.00,40.00,2.00,0.00,42.00,46.00,7.00,78.00,98.00,57.00,47.00,48.00,33.00,29.00,122.00
52.00,NaN,41.00,31.00,29.00,73.00,136.00,70.00,61.00,80.00,73.00,122.00,125.00,9.00,0.00,44.00,115.00,0.00,97.00,71.00,50.00,116.00,107.00,66.00,1.00,79.00
53.00,NaN,104.00,99.00,119.00,56.00,92.00,38.00,78.00,73.00,41.00,79.00,35.00,10.00,9.00,9.00,80.00,10.00,90.00,74.00,11.00,47.00,31.00,82.00,0.00,72.00
54.00,NaN,60.00,60.00,76.00,74.00,0.00,27.00,18.00,25.00,86.00,54.00,9.00,0.00,14.00,15.00,44.00,2.00,35.00,73.00,107.00,81.00,66.00,86.00,32.00,76.00
55.00,NaN,74.00,62.00,76.00,39.00,137.00,51.00,82.00,139.00,76.00,64.00,15.00,29.00,8.00,28.00,15.00,7.00,127.00,26.00,78.00,86.00,67.00,60.00,7.00,36.00
56.00,NaN,73.00,38.00,81.00,83.00,95.00,43.00,106.00,82.00,69.00,42.00,0.00,12.00,6.00,31.00,6.00,0.00,81.00,109.00,97.00,42.00,50.00,126.00,1.00,132.00
57.00,NaN,29.00,19.00,43.00,69.00,95.00,17.00,44.00,92.00,73.00,121.00,8.00,22.00,0.00,7.00,39.00,2.00,58.00,77.00,74.00,132.00,68.00,85.00,23.00,88.00
58.00,NaN,90.00,73.00,100.00,40.00,78.00,68.00,115.00,64.00,39.00,82.00,1.00,8.00,5.00,52.00,21.00,26.00,69.00,90.00,39.00,80.00,54.00,0.00,1.00,88.00
59.00,NaN,69.00,29.00,72.00,79.00,33.00,22.00,88.00,22.00,116.00,61.00,10.00,22.00,3.00,38.00,28.00,10.00,35.00,67.00,120.00,88.00,55.00,121.00,0.00,81.00
60.00,NaN,68.00,24.00,0.00,69.00,168.00,38.00,81.00,100.00,80.00,64.00,8.00,34.00,0.00,4.00,50.00,0.00,118.00,40.00,86.00,92.00,92.00,21.00,15.00,38.00
61.00,NaN,46.00,33.00,80.00,37.00,102.00,27.00,84.00,69.00,74.00,37.00,11.00,1.00,1.00,65.00,41.00,0.00,113.00,119.00,72.00,42.00,41.00,89.00,34.00,121.00
62.00,NaN,9.00,20.00,44.00,24.00,101.00,31.00,45.00,55.00,80.00,113.00,5.00,39.00,0.00,10.00,127.00,2.00,81.00,81.00,57.00,123.00,57.00,68.00,6.00,98.00
63.00,NaN,24.00,60.00,27.00,21.00,90.00,40.00,135.00,68.00,25.00,81.00,6.00,61.00,0.00,38.00,81.00,2.00,81.00,71.00,40.00,84.00,74.00,45.00,0.00,76.00
64.00,NaN,16.00,71.00,57.00,113.00,36.00,71.00,81.00,37.00,111.00,80.00,0.00,30.00,53.00,16.00,82.00,0.00,38.00,76.00,84.00,102.00,48.00,129.00,9.00,81.00
65.00,NaN,14.00,62.00,24.00,25.00,131.00,85.00,95.00,121.00,76.00,65.00,10.00,117.00,2.00,6.00,61.00,4.00,107.00,41.00,67.00,51.00,69.00,60.00,4.00,29.00
66.00,NaN,27.00,51.00,118.00,12.00,97.00,10.00,90.00,83.00,73.00,34.00,7.00,63.00,1.00,0.00,44.00,10.00,41.00,122.00,82.00,33.00,38.00,12.00,4.00,125.00
67.00,NaN,9.00,11.00,76.00,5.00,83.00,15.00,36.00,0.00,80.00,94.00,0.00,81.00,0.00,0.00,110.00,0.00,39.00,74.00,75.00,109.00,82.00,21.00,13.00,87.00
68.00,NaN,17.00,83.00,74.00,13.00,82.00,146.00,105.00,128.00,38.00,57.00,2.00,72.00,54.00,48.00,87.00,7.00,120.00,81.00,41.00,85.00,69.00,13.00,3.00,94.00
